[03:08:38] [ServerMain/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[03:08:40] [ServerMain/INFO]: Loaded 7 recipes
[03:08:40] [ServerMain/INFO]: Loaded 1271 advancements
[03:08:41] [Server thread/INFO]: Starting minecraft server version 1.20.2
[03:08:41] [Server thread/INFO]: Loading properties
[03:08:41] [Server thread/INFO]: Default game type: SURVIVAL
[03:08:41] [Server thread/INFO]: Generating keypair
[03:08:41] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:08:41] [Server thread/INFO]: Using epoll channel type
[03:08:41] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:08:41] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:08:41] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:08:41] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:08:41] [Server thread/INFO]: Preparing level "world"
[03:08:54] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:08:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:08:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:09:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[03:09:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[03:09:16] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[03:09:17] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[03:09:17] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[03:09:18] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[03:09:18] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[03:09:19] [Worker-Main-1/INFO]: Preparing spawn area: 31%
